	count	fid	max	mean	min	std	sum
0	178	0	354.8055725097656	62.45102923103933	-9999.0	761.7210208815072	11116.283203125
1	67	1	356.9872131347656	-86.27740205223881	-9999.0	1744.2230176637697	-5780.5859375
2	24	2	108.43495178222656	37.83294932047526	0.0	28.716695139708285	907.9907836914062
3	55	3	351.8699035644531	-466.9105823863636	-9999.0	2290.2117337154127	-25680.08203125
4	143	4	357.273681640625	140.95013385052448	0.0	139.17311205406804	20155.869140625
5	27	5	153.43495178222656	111.73958333333333	78.69007110595703	24.078570838271432	3016.96875
6	12	6	344.744873046875	157.26423136393228	14.036243438720703	145.10850648787792	1887.1707763671875
7	16	7	338.1985778808594	180.99911499023438	18.434947967529297	127.01341990350637	2895.98583984375
8	26	8	90.0	70.10404616135817	47.72631072998047	12.510077953850638	1822.7052001953125
9	59	9	356.633544921875	93.87259169756356	0.0	127.72617400962119	5538.48291015625
10	47	10	344.744873046875	-102.89031333111703	-9999.0	1461.4775262510263	-4835.8447265625
11	22	11	338.1985778808594	280.3203790838068	11.309932708740234	106.77530006757034	6167.04833984375
12	26	12	357.7093811035156	112.90234375	0.0	144.66085674896044	2935.4609375
13	269	13	356.1859130859375	154.29248954460965	0.0	137.79043023152596	41504.6796875
14	21	14	348.6900634765625	136.38246372767858	0.0	133.9117887382302	2864.03173828125
15	20	15	315.0	-830.367578125	-9999.0	3056.6673030442926	-16607.3515625
16	27	16	198.43495178222656	148.9295337818287	98.1301040649414	25.179453982492596	4021.097412109375
17	35	17	355.6012878417969	-1555.463169642857	-9999.0	3842.9380486511523	-54441.2109375
18	61	18	348.6900634765625	54.91750448258197	0.0	53.52847458432063	3349.9677734375
19	34	19	345.9637451171875	-483.2112247242647	-9999.0	2382.471782131178	-16429.181640625
20	82	20	355.6012878417969	60.6050995617378	-9999.0	1127.6055889995566	4969.6181640625
21	57	21	356.9872131347656	184.55998149671052	3.3664605617523193	76.35891254453739	10519.9189453125
22	47	22	351.8699035644531	-238.80246426196808	-9999.0	2063.2334531530432	-11223.7158203125
23	3	23	300.0685729980469	285.01674397786456	267.87890625	13.223896851899227	855.0502319335938
24	72	24	356.1859130859375	286.78070746527777	0.0	86.87315491721931	20648.2109375
25	83	25	345.9637451171875	-150.34611492846386	-9999.0	1551.7273242865724	-12478.7275390625
26	73	26	354.8055725097656	-842.8272688356165	-9999.0	2984.9200434803815	-61526.390625
27	26	27	315.0	208.67536808894232	11.309932708740234	83.74561381897415	5425.5595703125
28	3	28	266.633544921875	212.31280517578125	153.43495178222656	46.32534055467484	636.9384155273438
29	100	29	353.6598205566406	172.0091796875	85.6012954711914	49.51105118634567	17200.91796875
30	173	30	198.43495178222656	98.45322660765896	18.434947967529297	35.676433775644206	17032.408203125
31	6	31	180.0	108.51873779296875	75.96375274658203	40.120537905502815	651.1124267578125
32	24	32	315.0	-298.97755940755206	-9999.0	2024.20732059031	-7175.46142578125
33	44	33	348.6900634765625	-36.8458251953125	-9999.0	1524.0949597105014	-1621.21630859375
34	14	34	105.25511932373047	83.09110804966518	57.52880859375	15.785192477269723	1163.2755126953125
35	130	35	324.4623107910156	214.40220853365383	87.51044464111328	64.94503809856573	27872.287109375
36	7	36	116.56504821777344	103.64402553013393	98.1301040649414	5.75281010907468	725.5081787109375
37	5	37	112.38013458251953	107.8766845703125	100.00798034667969	5.159698083059468	539.3834228515625
38	123	38	356.1859130859375	219.84173335873984	0.0	134.24547748205384	27040.533203125
39	174	39	225.0	91.57646372126437	15.945395469665527	32.47969569092497	15934.3046875
40	3	40	158.96249389648438	123.62703450520833	102.2647705078125	25.167383849146383	370.881103515625
41	51	41	356.1859130859375	-52.453163296568626	-9999.0	1414.210163131325	-2675.111328125
42	135	42	258.6900634765625	163.76281828703705	45.0	52.19778946893096	22107.98046875
43	2	43	203.19859313964844	191.59930419921875	180.0	11.599296569826727	383.1986083984375
44	74	44	351.8699035644531	128.50525232263513	-9999.0	1190.073767134856	9509.388671875
45	69	45	350.5376892089844	92.50414685235508	2.726310968399048	101.05129484824984	6382.7861328125
46	62	46	288.4349365234375	-55.47171118951613	-9999.0	1274.6072394955659	-3439.24609375
47	259	47	357.273681640625	178.71642736486487	0.0	149.52211745645096	46287.5546875
48	193	48	353.6598205566406	-37.79245769915803	-9999.0	1453.551108604437	-7293.9443359375
49	127	49	147.99461364746094	71.4566467765748	3.0127875804901123	26.882751352468798	9074.994140625
50	26	50	354.8055725097656	120.6482403094952	0.0	144.72222582832234	3136.854248046875
51	48	51	358.7811279296875	101.26676432291667	0.0	145.94125861329564	4860.8046875
52	67	52	355.6012878417969	69.57169717817165	0.0	109.72519870852149	4661.3037109375
53	49	53	353.6598205566406	-79.51255580357143	-9999.0	1435.5444414197348	-3896.115234375
54	9	54	348.6900634765625	277.9852701822917	225.0	37.860256949732765	2501.867431640625
55	66	55	357.7093811035156	292.9436553030303	3.3664605617523193	87.78941925021466	19334.28125
56	209	56	355.2363586425781	114.616271680622	4.39870548248291	54.20175696114661	23954.80078125
57	36	57	168.6900634765625	85.13871256510417	21.801408767700195	41.20064123282236	3064.99365234375
58	119	58	357.51043701171875	115.63122866334034	-9999.0	940.4710413398868	13760.1162109375
59	81	59	348.6900634765625	54.032636477623456	-9999.0	1126.4450130456846	4376.6435546875
60	36	60	132.2297821044922	89.72705078125	41.987213134765625	18.237011361842605	3230.173828125
61	1	61	341.5650634765625	341.5650634765625	341.5650634765625	0.0	341.5650634765625
62	111	62	358.45184326171875	126.31908959740991	1.7357045412063599	137.50131607564504	14021.4189453125
