	pente	expo
10020102	3.8925129033659145	-1787.2554732937283
10020537	1.909578589168755	-1597.782863713518
10020902	1.401050512607281	138.5939397078294
10021029	1.3948514276826884	-3195.4626019795737
10021030	0.8140518307685852	-1076.429527759552
10021266	1.3300122141179458	-1962.4190755383722
10021697	1.314751919110616	96.7946286882673
10021714	1.102776221007355	98.05648615956306
10022245	1.9671947310020874	-734.2372345164202
10022247	1.2188723385334015	59.94897537231445
10022248	1.6705635221380937	-1867.7568447307005
10022271	1.3698934881310714	123.31303634643555
10022441	1.3486766227969418	122.61586590384722
10022464	0.3147643618285656	-186.84071276264805
10022465	0.9428469558462712	-1968.1840468200983
10022467	1.2902347911149263	-2915.226490380629
10022582	6.735686801200689	59.598230838775635
10022690	2.17317127264463	-492.2418701648712
10022694	1.032165653777845	-3467.395145528457
10022696	1.9209158922496594	-2883.21739552119
10022700	1.3101182261417652	-2198.643455606646
10022714	2.822694420814514	-1525.5362459818523
10022717	1.2022947037921232	-3883.939346112703
10022944	3.066850554943085	-9999.0
10023741	1.123134162766593	22.71893620491028
10024648	1.1717381477355957	-1224.709098058031
10024649	1.6528427547162718	-1701.7016978353824
10025148	5.083826668560505	-2503.808781215123
10025175	3.018997039286618	128.96904650031095
10025187	6.207538166216442	189.26850251590506
10025420	1.427403671046098	-839.7699431610107
10025656	1.07950292504023	-3309.5097424737337
10025896	2.120954657933727	-3077.667504845896
10025918	1.270327344085231	-1276.4747837611608
10026057	2.721761703491211	296.5650634765625
10026068	0.47687848409016925	-4448.494086525657
10026069	1.5051537469941743	-2913.189193187413
10026339	2.6446079011428227	-87.68693646767157
10026555	6.430809621153207	157.71117772251728
10026688	0.9067978840607863	250.80372438592426
10026689	2.93513427937732	278.14009511470795
10026690	1.7867407675870914	17.738630495573346
10026783	3.5901197646894762	187.98473064716046
10026785	3.8247516364962966	63.80834682032747
10026801	7.066176540510995	-28.38893876600703
10026838	4.796259229089699	-48.25775492714673
10027017	5.697637438774109	280.05402385271515
10027194	3.5142283666701544	201.04060205599157
10027266	1.8363978760699704	-1990.6942010264243
10028019	2.1066917771160014	119.4841947555542
10028021	1.867636137008667	135.06253523439975
10028937	1.8655324330696692	218.60003033490247
10029122	1.7886869699235945	-198.93917143149454
10029124	1.6730792878688068	-269.00856841482766
10029318	0.7360373256362487	-473.38261625501843
10029345	2.002507448196411	-4977.0
10029433	1.3895677546759946	-2278.653566537659
10029439	0.8940174778302511	-8551.285714285714
10029492	4.118792269862978	106.48912137425589
10029690	3.5367916645230473	-134.34530508014518
10030058	1.3789023482157086	-2920.980917801728
10030634	1.3720885103076808	-245.27892483695078
10030885	1.613036486837599	227.7467384338379
