,Nom,JJ,rr24
120,BORDEAUX-MERIGNAC,20160430,2.25
121,BORDEAUX-MERIGNAC,20160501,0.9375
122,BORDEAUX-MERIGNAC,20160502,0.0
123,BORDEAUX-MERIGNAC,20160503,-1249.875
124,BORDEAUX-MERIGNAC,20160504,-1249.875
125,BORDEAUX-MERIGNAC,20160505,0.0
126,BORDEAUX-MERIGNAC,20160506,-1249.875
127,BORDEAUX-MERIGNAC,20160507,-1249.875
128,BORDEAUX-MERIGNAC,20160508,-1249.875
129,BORDEAUX-MERIGNAC,20160509,-2494.275
130,BORDEAUX-MERIGNAC,20160510,-2489.275
131,BORDEAUX-MERIGNAC,20160511,-4997.6
132,BORDEAUX-MERIGNAC,20160512,-1249.7875
133,BORDEAUX-MERIGNAC,20160513,-1249.9125
134,BORDEAUX-MERIGNAC,20160514,-7499.275
135,BORDEAUX-MERIGNAC,20160515,-3749.5625
136,BORDEAUX-MERIGNAC,20160516,-2499.75
137,BORDEAUX-MERIGNAC,20160517,-2499.75
138,BORDEAUX-MERIGNAC,20160518,-1249.75
139,BORDEAUX-MERIGNAC,20160519,-2499.4375
140,BORDEAUX-MERIGNAC,20160520,-1249.7375
141,BORDEAUX-MERIGNAC,20160521,-3748.4375
142,BORDEAUX-MERIGNAC,20160522,-2484.85
143,BORDEAUX-MERIGNAC,20160523,-1245.825
144,BORDEAUX-MERIGNAC,20160524,-3749.4
145,BORDEAUX-MERIGNAC,20160525,0.25
146,BORDEAUX-MERIGNAC,20160526,7.8875
147,BORDEAUX-MERIGNAC,20160527,2.8125
148,BORDEAUX-MERIGNAC,20160528,7.975
149,BORDEAUX-MERIGNAC,20160529,10.7875
150,BORDEAUX-MERIGNAC,20160530,6.8625
151,BORDEAUX-MERIGNAC,20160531,2.4
152,BORDEAUX-MERIGNAC,20160601,1.5375
153,BORDEAUX-MERIGNAC,20160602,0.7125
154,BORDEAUX-MERIGNAC,20160603,0.0
155,BORDEAUX-MERIGNAC,20160604,0.0
156,BORDEAUX-MERIGNAC,20160605,0.0
157,BORDEAUX-MERIGNAC,20160606,0.125
158,BORDEAUX-MERIGNAC,20160607,12.3625
159,BORDEAUX-MERIGNAC,20160608,0.8125
160,BORDEAUX-MERIGNAC,20160609,0.0
161,BORDEAUX-MERIGNAC,20160610,0.675
162,BORDEAUX-MERIGNAC,20160611,1.125
163,BORDEAUX-MERIGNAC,20160612,0.725
164,BORDEAUX-MERIGNAC,20160613,3.325
165,BORDEAUX-MERIGNAC,20160614,3.675
166,BORDEAUX-MERIGNAC,20160615,5.5625
167,BORDEAUX-MERIGNAC,20160616,12.425
168,BORDEAUX-MERIGNAC,20160617,10.75
169,BORDEAUX-MERIGNAC,20160618,18.9875
170,BORDEAUX-MERIGNAC,20160619,-6249.075
171,BORDEAUX-MERIGNAC,20160620,-3749.6375
172,BORDEAUX-MERIGNAC,20160621,0.0
173,BORDEAUX-MERIGNAC,20160622,-1249.875
174,BORDEAUX-MERIGNAC,20160623,0.0
175,BORDEAUX-MERIGNAC,20160624,-1248.45
176,BORDEAUX-MERIGNAC,20160625,0.775
177,BORDEAUX-MERIGNAC,20160626,-1249.875
178,BORDEAUX-MERIGNAC,20160627,0.0
179,BORDEAUX-MERIGNAC,20160628,0.0
180,BORDEAUX-MERIGNAC,20160629,0.0
181,BORDEAUX-MERIGNAC,20160630,0.0
182,BORDEAUX-MERIGNAC,20160701,0.0
183,BORDEAUX-MERIGNAC,20160702,1.4875
184,BORDEAUX-MERIGNAC,20160703,0.7
185,BORDEAUX-MERIGNAC,20160704,0.0
186,BORDEAUX-MERIGNAC,20160705,0.0
187,BORDEAUX-MERIGNAC,20160706,0.0
188,BORDEAUX-MERIGNAC,20160707,0.0
189,BORDEAUX-MERIGNAC,20160708,0.0
190,BORDEAUX-MERIGNAC,20160709,0.0
191,BORDEAUX-MERIGNAC,20160710,0.0
192,BORDEAUX-MERIGNAC,20160711,0.0
193,BORDEAUX-MERIGNAC,20160712,-0.025
194,BORDEAUX-MERIGNAC,20160713,0.6
195,BORDEAUX-MERIGNAC,20160714,0.7
196,BORDEAUX-MERIGNAC,20160715,0.1
197,BORDEAUX-MERIGNAC,20160716,0.0
198,BORDEAUX-MERIGNAC,20160717,0.0
199,BORDEAUX-MERIGNAC,20160718,0.0
200,BORDEAUX-MERIGNAC,20160719,0.0
201,BORDEAUX-MERIGNAC,20160720,0.0
202,BORDEAUX-MERIGNAC,20160721,0.0
203,BORDEAUX-MERIGNAC,20160722,0.0
204,BORDEAUX-MERIGNAC,20160723,0.0
205,BORDEAUX-MERIGNAC,20160724,0.0
206,BORDEAUX-MERIGNAC,20160725,0.0
207,BORDEAUX-MERIGNAC,20160726,0.0
208,BORDEAUX-MERIGNAC,20160727,0.0
209,BORDEAUX-MERIGNAC,20160728,1.6
210,BORDEAUX-MERIGNAC,20160729,1.75
211,BORDEAUX-MERIGNAC,20160730,1.75
212,BORDEAUX-MERIGNAC,20160731,3.9625
213,BORDEAUX-MERIGNAC,20160801,-1249.875
214,BORDEAUX-MERIGNAC,20160802,0.0
215,BORDEAUX-MERIGNAC,20160803,0.0
216,BORDEAUX-MERIGNAC,20160804,3.8375
217,BORDEAUX-MERIGNAC,20160805,6.0125
218,BORDEAUX-MERIGNAC,20160806,0.05
219,BORDEAUX-MERIGNAC,20160807,-1249.875
220,BORDEAUX-MERIGNAC,20160808,0.0
221,BORDEAUX-MERIGNAC,20160809,0.0
222,BORDEAUX-MERIGNAC,20160810,0.0
223,BORDEAUX-MERIGNAC,20160811,0.0
224,BORDEAUX-MERIGNAC,20160812,0.0
225,BORDEAUX-MERIGNAC,20160813,0.0
226,BORDEAUX-MERIGNAC,20160814,0.0
227,BORDEAUX-MERIGNAC,20160815,0.0
228,BORDEAUX-MERIGNAC,20160816,0.0
229,BORDEAUX-MERIGNAC,20160817,0.0
230,BORDEAUX-MERIGNAC,20160818,-0.0875
231,BORDEAUX-MERIGNAC,20160819,-0.05
232,BORDEAUX-MERIGNAC,20160820,1.275
233,BORDEAUX-MERIGNAC,20160821,0.0625
234,BORDEAUX-MERIGNAC,20160822,-0.0125
235,BORDEAUX-MERIGNAC,20160823,0.0
236,BORDEAUX-MERIGNAC,20160824,-0.0875
237,BORDEAUX-MERIGNAC,20160825,-0.0125
238,BORDEAUX-MERIGNAC,20160826,0.0
239,BORDEAUX-MERIGNAC,20160827,0.0
240,BORDEAUX-MERIGNAC,20160828,-0.075
241,BORDEAUX-MERIGNAC,20160829,-0.075
242,BORDEAUX-MERIGNAC,20160830,-0.05
243,BORDEAUX-MERIGNAC,20160831,0.0
244,BORDEAUX-MERIGNAC,20160901,0.0
245,BORDEAUX-MERIGNAC,20160902,0.0
246,BORDEAUX-MERIGNAC,20160903,0.0
247,BORDEAUX-MERIGNAC,20160904,0.0
248,BORDEAUX-MERIGNAC,20160905,0.0
249,BORDEAUX-MERIGNAC,20160906,0.15
250,BORDEAUX-MERIGNAC,20160907,0.05
251,BORDEAUX-MERIGNAC,20160908,-0.0875
252,BORDEAUX-MERIGNAC,20160909,-0.0375
253,BORDEAUX-MERIGNAC,20160910,0.0
254,BORDEAUX-MERIGNAC,20160911,0.0
255,BORDEAUX-MERIGNAC,20160912,0.0
256,BORDEAUX-MERIGNAC,20160913,8.475
257,BORDEAUX-MERIGNAC,20160914,35.7
258,BORDEAUX-MERIGNAC,20160915,6.15
259,BORDEAUX-MERIGNAC,20160916,0.475
260,BORDEAUX-MERIGNAC,20160917,0.6
261,BORDEAUX-MERIGNAC,20160918,0.0875
262,BORDEAUX-MERIGNAC,20160919,0.075
263,BORDEAUX-MERIGNAC,20160920,0.0
264,BORDEAUX-MERIGNAC,20160921,0.0
265,BORDEAUX-MERIGNAC,20160922,0.0
266,BORDEAUX-MERIGNAC,20160923,0.0
267,BORDEAUX-MERIGNAC,20160924,0.0
268,BORDEAUX-MERIGNAC,20160925,0.125
269,BORDEAUX-MERIGNAC,20160926,0.05
270,BORDEAUX-MERIGNAC,20160927,0.0
271,BORDEAUX-MERIGNAC,20160928,0.0
272,BORDEAUX-MERIGNAC,20160929,0.0
273,BORDEAUX-MERIGNAC,20160930,0.425
274,BORDEAUX-MERIGNAC,20161001,11.725
275,BORDEAUX-MERIGNAC,20161002,0.925
276,BORDEAUX-MERIGNAC,20161003,0.0
277,BORDEAUX-MERIGNAC,20161004,0.0
278,BORDEAUX-MERIGNAC,20161005,0.0
279,BORDEAUX-MERIGNAC,20161006,0.0
280,BORDEAUX-MERIGNAC,20161007,0.0
281,BORDEAUX-MERIGNAC,20161008,0.0
282,BORDEAUX-MERIGNAC,20161009,0.0
283,BORDEAUX-MERIGNAC,20161010,0.0
284,BORDEAUX-MERIGNAC,20161011,0.0
285,BORDEAUX-MERIGNAC,20161012,-3749.625
286,BORDEAUX-MERIGNAC,20161013,-6247.55
287,BORDEAUX-MERIGNAC,20161014,0.55
288,BORDEAUX-MERIGNAC,20161015,0.0
289,BORDEAUX-MERIGNAC,20161016,0.025
290,BORDEAUX-MERIGNAC,20161017,1.225
291,BORDEAUX-MERIGNAC,20161018,0.525
292,BORDEAUX-MERIGNAC,20161019,-0.05
293,BORDEAUX-MERIGNAC,20161020,-0.0375
294,BORDEAUX-MERIGNAC,20161021,0.0
295,BORDEAUX-MERIGNAC,20161022,0.0
296,BORDEAUX-MERIGNAC,20161023,0.125
297,BORDEAUX-MERIGNAC,20161024,3.275
298,BORDEAUX-MERIGNAC,20161025,0.75
299,BORDEAUX-MERIGNAC,20161026,-0.025
300,BORDEAUX-MERIGNAC,20161027,0.0875
301,BORDEAUX-MERIGNAC,20161028,0.075
302,BORDEAUX-MERIGNAC,20161029,0.0
303,BORDEAUX-MERIGNAC,20161030,0.0
304,BORDEAUX-MERIGNAC,20161031,0.0
305,BORDEAUX-MERIGNAC,20161101,0.125
306,BORDEAUX-MERIGNAC,20161102,0.225
307,BORDEAUX-MERIGNAC,20161103,-1249.825
308,BORDEAUX-MERIGNAC,20161104,-8749.125
309,BORDEAUX-MERIGNAC,20161105,6.125
310,BORDEAUX-MERIGNAC,20161106,5.3125
311,BORDEAUX-MERIGNAC,20161107,3.0875
312,BORDEAUX-MERIGNAC,20161108,-1249.725
313,BORDEAUX-MERIGNAC,20161109,13.65
314,BORDEAUX-MERIGNAC,20161110,12.3875
315,BORDEAUX-MERIGNAC,20161111,5.1625
316,BORDEAUX-MERIGNAC,20161112,0.9125
317,BORDEAUX-MERIGNAC,20161113,3.3
318,BORDEAUX-MERIGNAC,20161114,0.2625
319,BORDEAUX-MERIGNAC,20161115,0.0
320,BORDEAUX-MERIGNAC,20161116,0.0
321,BORDEAUX-MERIGNAC,20161117,0.0
322,BORDEAUX-MERIGNAC,20161118,2.85
323,BORDEAUX-MERIGNAC,20161119,6.975
324,BORDEAUX-MERIGNAC,20161120,0.725
325,BORDEAUX-MERIGNAC,20161121,1.3
326,BORDEAUX-MERIGNAC,20161122,0.675
327,BORDEAUX-MERIGNAC,20161123,-1241.3
328,BORDEAUX-MERIGNAC,20161124,7.25
329,BORDEAUX-MERIGNAC,20161125,2.625
330,BORDEAUX-MERIGNAC,20161126,0.9125
331,BORDEAUX-MERIGNAC,20161127,1.9125
332,BORDEAUX-MERIGNAC,20161128,0.0
333,BORDEAUX-MERIGNAC,20161129,0.0
334,BORDEAUX-MERIGNAC,20161130,0.0
335,BORDEAUX-MERIGNAC,20161201,0.0
336,BORDEAUX-MERIGNAC,20161202,0.0
337,BORDEAUX-MERIGNAC,20161203,0.0
338,BORDEAUX-MERIGNAC,20161204,0.0
339,BORDEAUX-MERIGNAC,20161205,0.0
340,BORDEAUX-MERIGNAC,20161206,0.0
341,BORDEAUX-MERIGNAC,20161207,0.0
342,BORDEAUX-MERIGNAC,20161208,0.0
343,BORDEAUX-MERIGNAC,20161209,-0.0625
344,BORDEAUX-MERIGNAC,20161210,-0.0625
345,BORDEAUX-MERIGNAC,20161211,-0.075
346,BORDEAUX-MERIGNAC,20161212,0.0
347,BORDEAUX-MERIGNAC,20161213,0.0
348,BORDEAUX-MERIGNAC,20161214,0.0
349,BORDEAUX-MERIGNAC,20161215,-0.0375
350,BORDEAUX-MERIGNAC,20161216,-0.075
351,BORDEAUX-MERIGNAC,20161217,0.0
352,BORDEAUX-MERIGNAC,20161218,0.0
353,BORDEAUX-MERIGNAC,20161219,0.0
354,BORDEAUX-MERIGNAC,20161220,0.0
355,BORDEAUX-MERIGNAC,20161221,-1249.8875
356,BORDEAUX-MERIGNAC,20161222,5.175
357,BORDEAUX-MERIGNAC,20161223,3.525
358,BORDEAUX-MERIGNAC,20161224,1.3
359,BORDEAUX-MERIGNAC,20161225,1.7
360,BORDEAUX-MERIGNAC,20161226,0.6375
361,BORDEAUX-MERIGNAC,20161227,0.8125
362,BORDEAUX-MERIGNAC,20161228,0.0
363,BORDEAUX-MERIGNAC,20161229,0.0
364,BORDEAUX-MERIGNAC,20161230,0.0
365,BORDEAUX-MERIGNAC,20161231,0.0
366,BORDEAUX-MERIGNAC,20170101,0.0
367,BORDEAUX-MERIGNAC,20170102,0.0
368,BORDEAUX-MERIGNAC,20170103,0.0
369,BORDEAUX-MERIGNAC,20170104,0.0
370,BORDEAUX-MERIGNAC,20170105,0.0
371,BORDEAUX-MERIGNAC,20170106,0.0
372,BORDEAUX-MERIGNAC,20170107,0.0
373,BORDEAUX-MERIGNAC,20170108,-0.0625
374,BORDEAUX-MERIGNAC,20170109,0.0
375,BORDEAUX-MERIGNAC,20170110,4.225
376,BORDEAUX-MERIGNAC,20170111,1.6
377,BORDEAUX-MERIGNAC,20170112,2.9625
378,BORDEAUX-MERIGNAC,20170113,9.8875
379,BORDEAUX-MERIGNAC,20170114,0.725
380,BORDEAUX-MERIGNAC,20170115,0.4125
381,BORDEAUX-MERIGNAC,20170116,3.7
382,BORDEAUX-MERIGNAC,20170117,0.225
383,BORDEAUX-MERIGNAC,20170118,0.0
384,BORDEAUX-MERIGNAC,20170119,0.0
385,BORDEAUX-MERIGNAC,20170120,0.0
386,BORDEAUX-MERIGNAC,20170121,0.0
387,BORDEAUX-MERIGNAC,20170122,0.0
388,BORDEAUX-MERIGNAC,20170123,0.0
389,BORDEAUX-MERIGNAC,20170124,0.0
390,BORDEAUX-MERIGNAC,20170125,0.0
391,BORDEAUX-MERIGNAC,20170126,0.0
392,BORDEAUX-MERIGNAC,20170127,0.0
393,BORDEAUX-MERIGNAC,20170128,0.75
394,BORDEAUX-MERIGNAC,20170129,1.25
395,BORDEAUX-MERIGNAC,20170130,-1249.4625
396,BORDEAUX-MERIGNAC,20170131,1.175
397,BORDEAUX-MERIGNAC,20170201,0.1875
398,BORDEAUX-MERIGNAC,20170202,3.025
399,BORDEAUX-MERIGNAC,20170203,11.675
400,BORDEAUX-MERIGNAC,20170204,19.6875
401,BORDEAUX-MERIGNAC,20170205,6.8375
402,BORDEAUX-MERIGNAC,20170206,2.8
403,BORDEAUX-MERIGNAC,20170207,6.05
404,BORDEAUX-MERIGNAC,20170208,3.975
405,BORDEAUX-MERIGNAC,20170209,0.05
406,BORDEAUX-MERIGNAC,20170210,-2499.75
407,BORDEAUX-MERIGNAC,20170211,-7499.25
408,BORDEAUX-MERIGNAC,20170212,-0.0875
409,BORDEAUX-MERIGNAC,20170213,0.0625
410,BORDEAUX-MERIGNAC,20170214,0.4875
411,BORDEAUX-MERIGNAC,20170215,0.0
412,BORDEAUX-MERIGNAC,20170216,0.0
413,BORDEAUX-MERIGNAC,20170217,0.0
414,BORDEAUX-MERIGNAC,20170218,0.0
415,BORDEAUX-MERIGNAC,20170219,0.0
416,BORDEAUX-MERIGNAC,20170220,0.0
417,BORDEAUX-MERIGNAC,20170221,-0.0125
418,BORDEAUX-MERIGNAC,20170222,-0.1
419,BORDEAUX-MERIGNAC,20170223,0.0375
420,BORDEAUX-MERIGNAC,20170224,0.75
421,BORDEAUX-MERIGNAC,20170225,0.0
422,BORDEAUX-MERIGNAC,20170226,0.15
423,BORDEAUX-MERIGNAC,20170227,0.7125
424,BORDEAUX-MERIGNAC,20170228,12.5875
425,BORDEAUX-MERIGNAC,20170301,6.7875
426,BORDEAUX-MERIGNAC,20170302,2.225
427,BORDEAUX-MERIGNAC,20170303,1.2125
428,BORDEAUX-MERIGNAC,20170304,15.2875
429,BORDEAUX-MERIGNAC,20170305,4.875
430,BORDEAUX-MERIGNAC,20170306,5.4375
431,BORDEAUX-MERIGNAC,20170307,5.2
432,BORDEAUX-MERIGNAC,20170308,6.8125
433,BORDEAUX-MERIGNAC,20170309,0.025
434,BORDEAUX-MERIGNAC,20170310,0.0
435,BORDEAUX-MERIGNAC,20170311,0.0
436,BORDEAUX-MERIGNAC,20170312,4.3625
437,BORDEAUX-MERIGNAC,20170313,8.575
438,BORDEAUX-MERIGNAC,20170314,0.2375
439,BORDEAUX-MERIGNAC,20170315,0.0
440,BORDEAUX-MERIGNAC,20170316,0.0
441,BORDEAUX-MERIGNAC,20170317,0.0
442,BORDEAUX-MERIGNAC,20170318,0.0
443,BORDEAUX-MERIGNAC,20170319,0.0
444,BORDEAUX-MERIGNAC,20170320,0.3125
445,BORDEAUX-MERIGNAC,20170321,2.125
446,BORDEAUX-MERIGNAC,20170322,2.35
447,BORDEAUX-MERIGNAC,20170323,3.2
448,BORDEAUX-MERIGNAC,20170324,0.15
449,BORDEAUX-MERIGNAC,20170325,-0.1
450,BORDEAUX-MERIGNAC,20170326,-0.05
451,BORDEAUX-MERIGNAC,20170327,0.0
452,BORDEAUX-MERIGNAC,20170328,0.0
453,BORDEAUX-MERIGNAC,20170329,0.0
454,BORDEAUX-MERIGNAC,20170330,0.0
455,BORDEAUX-MERIGNAC,20170331,0.0375
456,BORDEAUX-MERIGNAC,20170401,2.85
457,BORDEAUX-MERIGNAC,20170402,7.5125
458,BORDEAUX-MERIGNAC,20170403,2.2125
459,BORDEAUX-MERIGNAC,20170404,0.0375
460,BORDEAUX-MERIGNAC,20170405,-0.0875
461,BORDEAUX-MERIGNAC,20170406,0.0
462,BORDEAUX-MERIGNAC,20170407,0.0
463,BORDEAUX-MERIGNAC,20170408,0.0
464,BORDEAUX-MERIGNAC,20170409,0.0
465,BORDEAUX-MERIGNAC,20170410,0.0
466,BORDEAUX-MERIGNAC,20170411,0.0
467,BORDEAUX-MERIGNAC,20170412,0.0
